,Model,News-2,News-4,News-8,News-16,Custom News-2
0,DRNet,0.0,0.0,0.0,0.0,0.0
1,MLP,0.0,0.0,0.0,0.0,784.2368395255368
2,TARNET,0.0,0.0,0.0,0.0,220.48587063676115
3,CF,0.0,0.0,0.0,0.0,345.27369021545053
4,kNN,0.0,0.0,0.0,0.0,0.0
