,Model,News-2,News-4,News-8,News-16,Custom News-2
0,DRNet,4.368387648129455,4.068920827991162,5.9684572406216905,6.598765731324859,541.0954899168084
1,MLP,6.920071950641703,5.230692629404031,9.531912448303103,16.851816020638957,486.94536911710713
2,TARNET,4.112033760866238,4.703268551413514,5.98173606743106,5.759685856785266,453.77064138585456
3,CF,9.448841233666382,8.6463531247308,11.826585414246166,13.055017076663043,1051.4739739588567
4,kNN,4.5045939626812865,4.673194780733509,6.070674354527938,6.482014951913573,418.52042997925383
